Countries (PWT nomenclature);Non-commodity exporters;;;;;Statistical capacity;;;;;OECD;;;;;All sample;;;;
;gdppc1960;gdppc2019;n+delta+g;share_i;school;gdppc1960;gdppc2019;n+delta+g;share_i;school;gdppc1960;gdppc2019;n+delta+g;share_i;school;gdppc1960;gdppc2019;n+delta+g;share_i;school
Australia;;;;;;-3.6480;-2.4886;-2.7118;-1.2528;-2.5352;-3.6480;-2.4886;-2.7118;-1.2528;-2.5352;-3.6480;-2.4886;-2.7118;-1.2528;-2.5352
Austria;-4.1650;-2.5152;-2.9158;-1.3039;-3.7906;-4.1650;-2.5152;-2.9158;-1.3039;-3.7906;-4.1650;-2.5152;-2.9158;-1.3039;-3.7906;-4.1650;-2.5152;-2.9158;-1.3039;-3.7906
Belgium;-4.1323;-2.6526;-2.9249;-1.2191;-2.7462;-4.1323;-2.6526;-2.9249;-1.2191;-2.7462;-4.1323;-2.6526;-2.9249;-1.2191;-2.7462;-4.1323;-2.6526;-2.9249;-1.2191;-2.7462
Canada;;;;;;-3.6637;-2.5949;-2.7360;-1.3937;-2.4747;-3.6637;-2.5949;-2.7360;-1.3937;-2.4747;-3.6637;-2.5949;-2.7360;-1.3937;-2.4747
Denmark;-3.8863;-2.4743;-2.9203;-1.3295;-2.5117;-3.8863;-2.4743;-2.9203;-1.3295;-2.5117;-3.8863;-2.4743;-2.9203;-1.3295;-2.5117;-3.8863;-2.4743;-2.9203;-1.3295;-2.5117
Finland;-4.1533;-2.6200;-2.9258;-1.1033;-4.1974;-4.1533;-2.6200;-2.9258;-1.1033;-4.1974;-4.1533;-2.6200;-2.9258;-1.1033;-4.1974;-4.1533;-2.6200;-2.9258;-1.1033;-4.1974
France;-4.0402;-2.6437;-2.8801;-1.3241;-3.1916;-4.0402;-2.6437;-2.8801;-1.3241;-3.1916;-4.0402;-2.6437;-2.8801;-1.3241;-3.1916;-4.0402;-2.6437;-2.8801;-1.3241;-3.1916
Germany;-4.0944;-2.5312;-2.9639;-1.2589;-3.8344;-4.0944;-2.5312;-2.9639;-1.2589;-3.8344;-4.0944;-2.5312;-2.9639;-1.2589;-3.8344;-4.0944;-2.5312;-2.9639;-1.2589;-3.8344
Greece;-4.8613;-3.1836;-2.9207;-1.2032;-2.7485;-4.8613;-3.1836;-2.9207;-1.2032;-2.7485;-4.8613;-3.1836;-2.9207;-1.2032;-2.7485;-4.8613;-3.1836;-2.9207;-1.2032;-2.7485
Iceland;-3.8256;-2.5726;-2.7397;-1.1012;-2.6744;-3.8256;-2.5726;-2.7397;-1.1012;-2.6744;-3.8256;-2.5726;-2.7397;-1.1012;-2.6744;-3.8256;-2.5726;-2.7397;-1.1012;-2.6744
Ireland;-4.4466;-1.8522;-2.7902;-1.3269;-2.5010;-4.4466;-1.8522;-2.7902;-1.3269;-2.5010;-4.4466;-1.8522;-2.7902;-1.3269;-2.5010;-4.4466;-1.8522;-2.7902;-1.3269;-2.5010
Italy;-4.4485;-2.7475;-2.9432;-1.3323;-2.7911;-4.4485;-2.7475;-2.9432;-1.3323;-2.7911;-4.4485;-2.7475;-2.9432;-1.3323;-2.7911;-4.4485;-2.7475;-2.9432;-1.3323;-2.7911
Japan;-4.7210;-2.7011;-2.9189;-1.1456;-2.5003;-4.7210;-2.7011;-2.9189;-1.1456;-2.5003;-4.7210;-2.7011;-2.9189;-1.1456;-2.5003;-4.7210;-2.7011;-2.9189;-1.1456;-2.5003
